module_id	strictest_pval	n_genes	n_domains	tokenised_genes
1	0.03904804377231272	3	4	DIOX_N_c24;2OG-FeII_Oxy_c38,FAD_binding_3_c35,p450_c15
2	0.005184348041448414	3	5	ketoacyl-synt_c12,ketoacyl-synt_c16;Ketoacyl-synt_C_c35,ketoacyl-synt_c69;Ketoacyl-synt_C_c30
3	0.011074628526508088	4	7	GFO_IDH_MocA_c25,Glyco_trans_4_4_c28;UDPGT_c13,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c65
4	0.010423448596550996	6	8	ABM_c22,Cyclase_polyket,PP-binding_c9,Polyketide_cyc2,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c62
5	0.020792015303062985	3	4	AMP-binding_c30;AMP-binding_C_c39,Chorismate_bind_c14,PP-binding_c39
6	0.059979388997105754	4	4	DegT_DnrJ_EryC1_c46,NTP_transferase,TylF,dTDP_sugar_isom
7	0.04401992375562602	4	4	Acyl_transf_3,Epimerase_c16,Methyltransf_24,TylF
8	3.66756129978868e-06	5	7	Acyl_transf_1_c22,ECH_1_c34,HMG_CoA_synt_N;HMG_CoA_synt_C,PP-binding_c24,ketoacyl-synt_c47;Ketoacyl-synt_C_c18
9	0.01251618380681948	5	5	Catalase,Methyltransf_33,Oxidored_FMN_c12,PhyH_c43,Trp_DMAT_c3
10	0.005184348041448414	3	6	ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c16;Ketoacyl-synt_C_c35,ketoacyl-synt_c69;Ketoacyl-synt_C_c30
11	0.005159454014332459	5	13	AMP-binding_c28;AMP-binding_C_c15,FAD_binding_6;NAD_binding_1;Fer2,PaaA_PaaC,Trp_dioxygenase,ketoacyl-synt_c7;Ketoacyl-synt_C_c7;KAsynt_C_assoc;Acyl_transf_1_c7;PP-binding_c14;Thioesterase_c10
12	0.024967770859207393	5	9	ACP_syn_III_c33;ACP_syn_III_C_c38,AMP-binding_c43;AMP-binding_C_c61,Acyl-CoA_dh_N;Acyl-CoA_dh_M;Acyl-CoA_dh_1_c36,NAD_binding_4_c53,Thioesterase_c24
13	0.04268427566649746	3	4	Epimerase_c9,Glycos_transf_2_c35,NTP_transferase;MannoseP_isomer
14	0.02781752356227631	7	11	Biotin_carb_N;CPSase_L_D2;Biotin_carb_C;Biotin_lipoyl,Carboxyl_trans,Cyclase_polyket,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15
15	0.005656033543858919	3	9	Docking;ketoacyl-synt_c8;Ketoacyl-synt_C_c2;KAsynt_C_assoc;Acyl_transf_1_c4;KR_c5;PP-binding_c13,SnoaL_2_c24,Thioesterase_c22
16	0.03169600919835085	5	7	ADH_N_c37;ADH_zinc_N_c59,AMP-binding_c30,Chorismate_bind_c38;GATase_c53,FAD_binding_3_c31,NAD_binding_9
17	0.034270760019058405	3	4	ADH_N_c17;ADH_zinc_N_c24,adh_short_c14,p450_c7
18	0.05752676337265906	11	14	Cyclase_polyket,DUF1205_c1,DegT_DnrJ_EryC1_c12,Epimerase_c45,FAD_binding_3_c42;adh_short_c18,GFO_IDH_MocA_c25,PP-binding_c9,Polyketide_cyc2,adh_short_c50,ketoacyl-synt_c12;Ketoacyl-synt_C_c15,ketoacyl-synt_c20;Ketoacyl-synt_C_c34
19	0.03592914779546916	4	5	DHQ_synthase_c18,DIOX_N_c17;2OG-FeII_Oxy_c21,Glyco_transf_20,HAD_2_c7
20	0.0003548865173732068	3	4	Acyl-CoA_dh_1_c41,Acyl-CoA_dh_M;Acyl-CoA_dh_1_c41,PP-binding_c16
