module_id	family_id
M1	3
M10	321
M100	328
M1000	27
M100000	594
M100002	27
M100004	1314
M100005	27
M10001	12775
M100015	89668
M100016	543
M100020	89669
M100021	89670
M100025	27
M100027	1139
M100031	89671
M100032	89672
M100033	89673
M100034	89674
M100040	2849
M100041	1255
M100043	17708
M100045	321
M100053	328
M100056	89675
M100062	89676
M100063	89677
M100064	89678
M100065	1140
M100066	89679
M100070	188
M100073	89680
M100075	188
M100076	1314
M100077	2850
M100078	188
M100079	12776
M10008	188
M100081	12776
M100082	2849
M100086	594
M100089	12775
M100090	89681
M100094	12777
M100096	89682
M100097	3
M100099	27
M1001	594
M10010	3
M100100	3
M100102	89683
M100104	89684
M100108	89685
M100115	1255
M100117	2850
M100118	1141
M100119	1140
M10012	1139
M100120	12778
M100122	2850
M100123	12778
M100124	2853
M100125	1141
M100130	2851
M100134	12779
M100137	12779
M100145	594
M100146	1140
M10015	2851
M10016	1141
M100160	89686
M100168	17709
M10017	328
M100173	27
M100175	27
M100176	12780
M100177	12780
M100178	1141
M10018	188
M100180	89687
M100186	89688
M10019	19087
M100199	1140
M10020	1139
M100200	1139
M100201	188
M100205	3410
M100206	2851
M100207	2849
M100215	12777
M100217	12781
M100219	3410
M100221	1255
M100223	12781
M100225	188
M100227	24
M100231	89689
M100236	89690
M100237	64
M100239	64
M10025	561
M100250	199
M100251	65
M100252	318
M100254	3046
M100256	562
M100257	42
M10026	42
M100265	199
M100271	563
M100273	563
M100274	14203
M100276	14204
M10028	3046
M100283	564
M100294	42
M100296	3
M100297	66
M1003	3047
M10030	200
M100301	14205
M100302	66
M100311	67
M100312	42
M100315	42
M100317	42
M100318	67
M10032	64
M100322	65
M100326	67
M100329	65
M10033	66
M100334	200
M100336	563
M100337	1186
M10034	66
M100341	66
M100343	562
M100344	200
M100347	3048
M10035	1187
M100350	318
M100353	318
M100355	319
M100356	199
M10036	1188
M100360	561
M100361	200
M100368	66
M10037	562
M100373	1189
M100376	14206
M10038	3049
M100380	67
M1004	320
M100400	67
M100409	66
M100411	65
M100412	65
M100413	1189
M100416	67
M100418	14207
M100420	14208
M10043	562
M100430	320
M100435	3049
M100436	3048
M100437	199
M100446	67
M10045	1189
M100456	565
M10046	319
M100462	14209
M100463	200
M100465	66
M100466	563
M100467	1190
M100471	561
M100473	42
M100477	320
M100480	564
M100481	14210
M100485	1187
M100486	3050
M100487	199
M100492	319
M100500	14211
M100501	65
M10051	320
M100514	3051
M100515	1190
M100519	42
M10052	1188
M100520	3
M100521	3050
M100523	318
M100526	318
M10053	14212
M100532	1191
M100534	1191
M100545	561
M100546	3052
M100548	320
M100549	42
M100556	67
M100557	1186
M10056	199
M100561	564
M100562	14213
M100563	3051
M10057	319
M100574	14214
M100578	65
M100579	65
M100584	566
M100585	64
M100586	64
M100589	566
M10059	1190
M100590	64
M100595	64
M100599	1186
M10060	42
M100601	566
M100608	66
M10061	566
M100614	200
M100616	565
M10062	565
M10063	3
M100639	3047
M10064	1187
M100640	67
M100646	64
M100648	14215
M100651	1192
M100654	14216
M100655	319
M100662	14217
M100663	14218
M100666	65
M10067	64
M100671	42
M100678	1188
M100679	564
M100680	14219
M100687	3052
M100692	565
M100695	2853
M100697	1191
M10070	1192
M100704	1192
M100714	14220
M100717	317
M100722	197
M100726	34
M100730	34
M100734	12
M100735	34
M10074	12
M100740	12
M100744	34
M100745	14178
M100748	197
M10075	1179
M100750	1180
M100755	198
M10076	12
M100760	40
M100761	12
M100762	14179
M100765	3040
M100766	3041
M100769	34
M10077	34
M100770	14180
M100772	317
M100773	14181
M100777	34
M100778	12
M100779	34
M100780	12
M100783	12
M10079	34
M100793	12
M100799	198
M1008	34
M100802	14182
M100804	1181
M100805	3042
M100807	1182
M10081	14183
M100810	3
M100817	1183
M100818	197
M100821	12
M100827	12
M100829	198
M100831	14184
M100832	198
M100835	1182
M100837	14185
M10084	41
M100840	3043
M100841	1184
M100845	1179
M100847	559
M100848	559
M100849	1184
M100854	3040
M100859	12
M10086	12
M100862	12
M100863	559
M100864	40
M100865	14186
M100867	1181
M100872	1179
M100873	548
M100876	317
M100877	3043
M100878	14187
M100879	197
M10088	41
M100885	14188
M100886	14189
M100892	14190
M100895	3044
M100898	40
M10090	40
M100900	14191
M100906	198
M100908	14192
M10091	14193
M100910	14194
M100911	1185
M100913	40
M100916	559
M100919	12
M100920	41
M100921	1182
M100928	1180
M100929	1184
M10093	1181
M100935	560
M100938	41
M10094	40
M100942	560
M100945	1183
M100949	560
M100951	14195
M100959	197
M100961	14196
M100962	14197
M100963	3045
M100968	12
M100971	41
M100973	3045
M100978	198
M100979	1183
M100981	41
M100983	34
M100986	560
M100988	1185
M100989	14198
M100990	317
M100991	3041
M100992	1185
M100994	317
M100999	14199
M101	197
M1010	41
M10100	41
M101000	3044
M101001	3042
M101002	3
M101006	40
M10101	14200
M101013	12
M101025	1180
M10103	41
M101036	40
M101044	34
M101048	40
M101049	41
M10105	14201
M101050	41
M101053	40
M101054	40
M101057	14202
M101058	195
M10106	315
M101061	3033
M101064	3034
M10107	14144
M101072	316
M101078	195
M10108	14145
M101082	195
M101084	316
M101089	558
M10109	14146
M101093	196
M101095	14147
M101096	315
M1011	14148
M10110	3034
M101103	14149
M101104	14150
M101105	558
M101107	14151
M101108	14152
M101112	196
M101113	14153
M101119	3033
M101121	14154
M101123	3035
M101139	316
M10114	195
M101140	3036
M101143	3035
M101146	14155
M101147	14156
M101148	14157
M101149	14158
M101151	14159
M101152	558
M101156	196
M10116	195
M101160	316
M101165	14160
M10117	14161
M101173	14162
M101176	315
M101183	14163
M101188	3037
M101190	3037
M101205	14164
M101209	14165
M101212	196
M101213	196
M101214	14166
M101215	14167
M101216	14168
M10122	315
M101223	3036
M101224	3038
M101225	315
M101226	14169
M101227	3
M101228	14170
M101229	14171
M10123	189
M101232	14172
M101233	3038
M101235	14173
M101237	558
M101239	196
M10124	195
M101240	316
M101244	14174
M101246	14175
M10125	3039
M101254	3039
M101257	189
M101262	14176
M10127	14177
M101271	14109
M101272	14110
M101278	1178
M101281	14111
M101282	3025
M101285	3025
M101287	14112
M101288	14113
M101290	3026
M101293	14114
M101295	14115
M101297	14116
M1013	14117
M101304	314
M10131	14118
M101312	3027
M101321	14119
M101322	14120
M101325	3028
M10133	14121
M101334	14122
M10134	1178
M101343	3028
M101344	14123
M101348	314
M101349	310
M10135	14124
M101350	3029
M101352	14125
M101358	14126
M10136	14127
M101362	314
M101364	314
M101368	14128
M10137	3030
M101371	14129
M101374	14130
M101378	14131
M10138	14132
M101380	3029
M101381	14133
M101382	3031
M101383	3032
M101384	14134
M101386	3030
M101388	14135
M10139	3031
M101396	3027
M101409	14136
M101414	1178
M101415	14137
M101417	14138
M10142	3032
M101434	14139
M101436	14140
M101438	314
M101447	3026
M101448	14141
M101449	14142
M10145	14143
M101456	557
M101459	557
M10146	14074
M101462	14075
M101466	3020
M101468	14076
M101469	14077
M10147	310
M101470	1177
M101478	14078
M10148	14079
M101483	3021
M1015	14080
M101507	3020
M10151	63
M101510	14081
M101511	14082
M101513	14083
M101514	543
M101515	14084
M101520	1170
M101528	1170
M101529	14085
M101537	14086
M101544	63
M101546	63
M101547	14087
M101550	14088
M101552	14089
M101554	14090
M101556	63
M10156	63
M101562	63
M101563	14091
M101564	14092
M101570	3022
M101573	14093
M101574	14094
M101575	14095
M101576	14096
M101578	14097
M10158	14098
M101580	1177
M101581	3023
M101587	14099
M101590	63
M101591	14100
M101592	14101
M101593	14102
M101598	14103
M101599	14104
M1016	63
M10160	189
M101600	3024
M101602	14105
M101605	14106
M101606	3024
M101614	1171
M101618	1171
M10162	14107
M101622	1177
M101627	3021
M101629	63
M101630	3023
M101632	557
M101636	557
M101638	3022
M101639	14108
M101644	3013
M101646	14041
M101647	14042
M101650	3014
M101651	14043
M101652	90
M101655	3015
M101656	14044
M101659	14045
M101661	3015
M101663	14046
M101664	3016
M101665	3017
M10167	14047
M101670	14048
M101671	14049
M101672	14050
M101673	3
M101675	14051
M101676	1176
M101678	90
M101679	14052
M101686	14053
M101687	22
M10169	189
M101694	1170
M101697	14054
M101698	14055
M101699	1176
M1017	14056
M10170	1176
M101709	14057
M10171	14058
M101711	3014
M101719	14059
M101720	3
M101722	14060
M101723	14061
M101724	14062
M101725	90
M101726	90
M101727	14063
M101735	14064
M101736	3018
M101738	90
M10174	3017
M101741	3019
M101746	14065
M101748	14066
M10175	90
M101752	3018
M101753	3019
M101759	3013
M10176	90
M101760	14067
M101761	90
M101765	22
M101767	14068
M101776	14069
M101783	14070
M101787	3016
M10179	14071
M101790	14072
M101794	14073
M101795	14011
M101797	14012
M10180	14013
M101802	3006
M101803	14014
M101805	194
M101815	14015
M101819	313
M10182	1174
M101823	14016
M101826	313
M101829	313
M10183	14017
M101830	3007
M101833	3008
M101840	3009
M101844	1175
M101851	14018
M101858	14019
M10186	556
M101864	556
M101865	3010
M101868	14020
M101869	14021
M10187	3006
M101871	3009
M101872	14022
M101874	3008
M101875	3011
M101878	1175
M101879	14023
M101880	313
M101892	194
M101898	194
M101899	194
M1019	14024
M10190	313
M101900	14025
M101903	14026
M101905	14027
M101907	14028
M10191	22
M101911	1174
M101915	14029
M101916	14030
M101917	3010
M10192	14031
M10193	14032
M101930	3007
M101931	14033
M101933	14034
M101934	1174
M10194	194
M101940	194
M101947	3012
M101956	3012
M101959	14035
M101964	14036
M101965	14037
M101967	3011
M101968	3
M10197	1175
M101971	14038
M101974	14039
M101982	556
M101985	556
M101988	14040
M10199	193
M101990	13975
M101991	13976
M101993	555
M101996	13977
M101999	13978
M102	13979
M1020	13980
M10200	1172
M102002	13981
M102009	13982
M10201	13983
M102010	13984
M102012	193
M102017	13985
M102018	548
M10202	555
M102020	3004
M102028	555
M10203	13986
M102031	1171
M102032	22
M10204	13987
M102041	13988
M102045	13989
M102046	13990
M102048	1172
M10205	3005
M102052	13991
M102055	3005
M102056	13992
M102057	193
M102058	13993
M102063	3004
M102068	13994
M102070	555
M102073	13995
M102074	193
M102076	13996
M102078	13997
M102080	193
M102085	13998
M102088	13999
M102089	14000
M102090	3
M102091	14001
M102092	1172
M102098	14002
M1021	1173
M102101	14003
M102102	14004
M102105	1173
M102106	193
M102107	1173
M102112	3
M102117	14005
M10212	14006
M102128	14007
M102129	14008
M10213	14009
M102135	14010
M102137	13939
M102141	2998
M102143	2999
M10215	13940
M102152	13941
M102155	13942
M10216	2998
M102163	13943
M102167	13944
M102171	13945
M102178	13946
M10218	13947
M102181	13948
M102182	13949
M102184	13950
M102185	13951
M102191	3000
M102193	13952
M102194	13953
M102195	13954
M102196	1169
M102197	13955
M1022	3001
M10221	3001
M102211	3002
M102218	13956
M102220	13957
M102228	13958
M102229	3003
M102230	13959
M102231	13960
M102232	13961
M102234	189
M102237	13962
M10224	13963
M102248	13964
M102250	3003
M102253	22
M102254	189
M102255	1169
M102264	3000
M102265	13965
M102270	13966
M102271	3002
M102272	13967
M102273	60
M10228	13968
M102281	13969
M102282	1169
M102289	13970
M102297	13971
M1023	2999
M102300	13972
M102303	13973
M102306	13974
M102308	13907
M102309	10
M10231	13908
M102311	13909
M102312	13910
M102313	13911
M102314	13912
M102315	2991
M102318	13913
M102319	554
M10232	2992
M102321	13914
M102323	1167
M102324	1168
M102325	1168
M102326	13915
